Runway,Slot_date,Slot_time,Possible_delay,Delay,FlightID,0
12,2018-04-26,09:05:04,20,65,1,1
27,2019-04-08,10:42:25,28,73,1,2
34,2019-08-14,13:29:01,56,26,1,3
38,2016-07-11,13:08:08,15,64,1,4
22,2020-07-03,18:19:27,28,99,1,5
14,2019-03-25,07:58:11,51,99,1,6
7,2018-11-13,09:46:18,51,68,1,7
19,2019-03-01,11:52:29,11,70,1,8
41,2019-10-17,06:50:59,28,74,1,9
84,2018-09-14,05:03:21,48,89,1,10
100,2020-05-26,13:37:57,30,57,1,11
13,2020-04-30,13:59:20,13,43,1,12
16,2020-03-22,16:00:07,56,50,1,13
12,2016-11-17,00:01:30,31,69,1,14
35,2018-10-24,12:55:44,60,21,1,15
10,2020-09-28,11:00:35,27,32,1,16
35,2016-07-18,19:40:18,20,93,1,17
49,2019-05-27,16:26:27,27,70,1,18
87,2020-10-27,19:08:45,35,95,1,19
39,2017-04-17,08:14:08,39,83,1,20
28,2020-11-25,11:50:15,28,27,1,21
62,2016-09-08,13:24:13,16,43,1,22
57,2017-02-03,23:45:21,11,57,1,23
7,2018-06-21,19:36:53,45,21,1,24
93,2020-08-06,04:16:01,19,11,1,25
82,2016-07-21,01:30:58,52,45,1,26
94,2019-01-16,08:54:21,18,75,1,27
69,2020-04-12,08:11:52,15,69,1,28
63,2016-05-16,20:17:16,28,57,1,29
62,2017-05-08,11:08:46,10,45,1,30
77,2018-05-07,05:07:53,20,63,1,31
70,2016-05-08,07:45:16,47,33,1,32
90,2018-07-13,13:21:18,22,25,1,33
64,2021-03-27,19:20:57,57,93,1,34
86,2020-08-29,21:55:03,33,44,1,35
73,2019-02-19,18:13:20,17,17,1,36
9,2021-03-30,08:19:00,47,58,1,37
71,2017-11-01,07:52:13,48,27,1,38
74,2016-07-26,20:36:11,50,20,1,39
72,2017-06-16,19:21:48,42,46,1,40
90,2017-11-26,03:23:57,48,87,1,41
6,2019-04-24,21:30:25,50,34,1,42
1,2018-01-03,03:35:48,59,27,1,43
7,2019-11-02,05:39:18,30,20,1,44
47,2019-05-17,21:50:50,33,11,1,45
76,2016-11-16,07:33:39,43,49,1,46
79,2017-01-16,19:45:33,49,97,1,47
92,2017-05-06,08:14:14,35,86,1,48
22,2018-12-10,08:49:07,23,46,1,49
45,2019-01-12,06:25:49,15,21,1,50
64,2020-02-07,05:20:02,54,81,1,51
11,2016-08-08,15:37:46,50,14,1,52
57,2021-04-08,22:17:30,44,76,1,53
38,2018-05-24,13:33:40,10,94,1,54
40,2018-01-29,02:16:25,48,65,1,55
58,2018-10-25,20:45:56,57,49,1,56
7,2017-04-11,06:03:40,41,76,1,57
44,2021-04-10,01:24:25,15,56,1,58
84,2020-10-13,13:57:00,23,95,1,59
67,2018-08-12,16:25:06,15,17,1,60
68,2018-04-02,17:29:30,47,65,1,61
86,2017-08-01,22:36:09,49,95,1,62
8,2019-02-25,19:18:37,55,66,1,63
45,2019-12-14,09:01:56,24,65,1,64
98,2017-01-03,18:58:12,47,89,1,65
69,2020-02-09,00:58:40,44,23,1,66
31,2017-07-17,23:23:08,55,20,1,67
67,2017-04-09,21:09:41,26,62,1,68
16,2021-03-31,21:25:50,19,64,1,69
89,2016-12-20,08:28:49,16,33,1,70
84,2018-02-14,14:05:01,45,45,1,71
2,2020-01-12,20:40:11,56,66,1,72
51,2016-11-22,17:02:56,52,90,1,73
9,2019-04-29,10:18:29,38,27,1,74
21,2017-12-19,10:50:25,18,12,1,75
31,2019-10-20,02:34:08,45,43,1,76
13,2017-12-04,21:40:50,49,11,1,77
28,2018-07-24,23:05:46,11,41,1,78
89,2016-09-12,17:33:23,23,60,1,79
32,2019-06-17,07:55:58,57,48,1,80
37,2018-01-12,14:13:23,17,80,1,81
47,2018-02-05,12:52:08,57,91,1,82
16,2017-07-29,07:29:52,27,38,1,83
1,2017-07-01,09:43:34,45,54,1,84
66,2021-03-15,13:09:45,26,11,1,85
29,2017-12-18,18:50:23,15,41,1,86
13,2016-04-30,00:52:42,45,98,1,87
53,2017-03-12,09:48:24,20,21,1,88
24,2016-06-09,06:39:37,33,19,1,89
100,2018-09-11,14:19:42,35,85,1,90
21,2016-09-27,04:01:16,44,72,1,91
73,2017-07-11,05:54:26,39,65,1,92
54,2018-03-02,16:30:36,20,71,1,93
28,2020-02-23,16:19:37,15,21,1,94
65,2019-09-07,02:17:51,26,51,1,95
85,2019-02-11,01:02:08,32,12,1,96
92,2019-06-09,20:08:23,32,50,1,97
69,2016-08-08,00:05:08,19,88,1,98
29,2021-03-19,17:09:29,45,95,1,99
49,2021-03-10,05:27:22,45,10,1,100
89,2019-05-30,12:57:47,54,20,1,101
13,2016-07-10,08:06:15,36,40,1,102
17,2020-04-01,03:33:00,25,79,1,103
73,2017-11-07,20:48:14,17,42,1,104
46,2018-02-09,13:26:33,32,40,1,105
2,2017-03-29,09:28:10,39,88,1,106
59,2016-09-08,16:35:18,46,12,1,107
7,2017-12-04,00:40:11,27,92,1,108
75,2016-12-13,08:58:32,23,52,1,109
11,2017-12-11,01:58:39,55,53,1,110
86,2021-04-11,10:08:15,27,17,1,111
93,2020-08-20,06:44:48,23,42,1,112
91,2016-08-13,16:09:45,24,82,1,113
12,2018-06-02,11:24:45,15,25,1,114
86,2018-07-08,12:47:51,19,92,1,115
83,2019-05-01,22:22:13,28,32,1,116
46,2017-04-16,05:13:14,24,54,1,117
5,2017-05-11,19:31:55,28,48,1,118
45,2018-11-17,19:42:15,12,71,1,119
71,2016-12-29,07:40:44,35,43,1,120
20,2020-05-22,04:38:00,22,23,1,121
56,2017-11-07,09:31:08,10,16,1,122
92,2016-05-03,00:40:43,41,36,1,123
55,2019-07-30,21:16:58,28,74,1,124
